"","X","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","depart","Response","Chordnotes"
"1",1,"I","4b-",1,1,"5","[b-]","E-","1_i.krn","+M2",1,"1 5 3"
"2",2,"I","8cc",2,0.5,"6","+M2","E-","1_i.krn","-M3",0,"1 5 3"
"3",3,"I","8a-",2.5,0.5,"4","-M3","E-","1_i.krn","-m2",0,"1 5 3"
"4",4,"I","4g",3,1,"3","-m2","E-","1_i.krn","+m2",1,"1 5 3"
"5",5,"I","8a-",4,0.5,"4","+m2","E-","1_i.krn","-m3",0,"1 5 3"
"6",6,"I","8f",4.5,0.5,"2","-m3","E-","1_i.krn","-M2",0,"1 5 3"
"7",7,"I","4e-",1,1,"1","-M2","E-","1_i.krn","-m2",1,"1 5 3"
"8",8,"I","8d",2,0.5,"7","-m2","E-","1_i.krn","-M2",0,"1 5 3"
"9",9,"I","8c",2.5,0.5,"6","-M2","E-","1_i.krn","-M2",0,"1 5 3"
"10",10,"I","8B-",3,0.5,"5","-M2","E-","1_i.krn","P1",1,"1 5 3"
"11",11,"I","8B-",3.5,0.5,"5","P1","E-","1_i.krn","P1",1,"1 5 3"
"12",12,"I","8B-",4,0.5,"5","P1","E-","1_i.krn","P1",1,"1 5 3"
"13",13,"I","8B-",4.5,0.5,"5","P1","E-","1_i.krn","P1",1,"1 5 3"
"14",14,"I","4.B-",1,1.5,"5","P1","E-","1_i.krn","+M2",1,"1 5 3"
"15",15,"I","16c",2.5,0.25,"6","+M2","E-","1_i.krn","+M2",0,"1 5 3"
"16",16,"I","16d",2.75,0.25,"7","+M2","E-","1_i.krn","+m2",0,"1 5 3"
"17",17,"I","16e-",3,0.25,"1","+m2","E-","1_i.krn","+M2",1,"1 5 3"
"18",18,"I","16f",3.25,0.25,"2","+M2","E-","1_i.krn","+M2",0,"1 5 3"
"19",19,"I","16g",3.5,0.25,"3","+M2","E-","1_i.krn","+m2",1,"1 5 3"
"20",20,"I","16a-",3.75,0.25,"4","+m2","E-","1_i.krn","+M2",0,"1 5 3"
"21",21,"I","16b-",4,0.25,"5","+M2","E-","1_i.krn","+M2",1,"1 5 3"
"22",22,"I","16cc",4.25,0.25,"6","+M2","E-","1_i.krn","+M2",0,"1 5 3"
"23",23,"I","16dd",4.5,0.25,"7","+M2","E-","1_i.krn","+m2",0,"1 5 3"
"24",24,"I","16ee-",4.75,0.25,"1","+m2","E-","1_i.krn","-P4",1,"1 5 3"
