"","X","function.","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"1",1,"1T","i","2cc'",1,2,"1","[cc]","c","B063.krn",1,0,"+m3",1,"1 5 3- 2+"
"2",5,"1T","i","(4ee-",3,1,"3","+m3","c","B063.krn",0,0,"-m2",0,"1 5 3- 2+"
"3",6,"1T","i","8ddL",4,0.5,"2","-m2","c","B063.krn",0,0,"-M2",0,"1 5 3- 2+"
"4",7,"1T","i","8ccJ)",4.5,0.5,"1","-M2","c","B063.krn",0,0,"+A4",1,"1 5 3- 2+"
"5",8,"1D","V","(4ff#",1,1,"4+","+A4","c","B063.krn",0,0,"+m2",0,"5 2 7"
"6",9,"1D","V","4gg)",2,1,"5","+m2","c","B063.krn",0,0,"-P4",1,"5 2 7"
"7",11,"1D","V","2dd",3,2,"2","-P4","c","B063.krn",0,0,"+m3",1,"5 2 7"
"8",13,"2.D","V7","(4.ff",1,1.5,"4","+m3","c","B063.krn",0,0,"+M2",1,"5 2 7 4 3+"
"9",15,"2.D","V7","16ggLL",2.5,0.25,"5","+M2","c","B063.krn",0,0,"+m2",1,"5 2 7 4 3+"
"10",16,"2.D","V7","16aa-JJ",2.75,0.25,"6","+m2","c","B063.krn",0,0,"-m2",0,"5 2 7 4 3+"
"11",17,"2.D","V7","8ggL",3,0.5,"5","-m2","c","B063.krn",0,0,"-M2",1,"5 2 7 4 3+"
"12",18,"2.D","V7","8ff",3.5,0.5,"4","-M2","c","B063.krn",0,0,"-M2",1,"5 2 7 4 3+"
"13",19,"4D","V","8ee-",4,0.5,"3","-M2","c","B063.krn",0,0,"-m2",0,"5 2 7"
"14",20,"4D","V","8ddJ)",4.5,0.5,"2","-m2","c","B063.krn",0,0,"+m2",1,"5 2 7"
"15",21,"1T","i","4ee-",1,1,"3","+m2","c","B063.krn",0,0,"-m3",0,"1 5 3- 2+"
"16",22,"1T","i","8.ccL",2,0.75,"1","-m3","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"17",23,"1T","i","16ccJk",2.75,0.25,"1","P1","c","B063.krn",0,0,"P1",1,"1 5 3- 2+"
"18",24,"1T","i","2cc",3,2,"1","P1","c","B063.krn",0,0,"[ee-]",1,"1 5 3- 2+"
"19",25,"2T","I/III","(8ee-L",1,0.5,"3","[ee-]","c","B063.krn",0,0,"+M2",0,"3- 7- 5"
"20",26,"2T","I/III","24ffL",1.5,0.166667,"4","+M2","c","B063.krn",0,0,"-M2",0,"3- 7- 5"
