"","function","harm","melody","beat_pos","duration","scale_deg","approaching","key","file","ArrByRest","DepByRest","depart","Response","Chordnotes"
"1","1T","i","2cc'","1","2","1","[cc]","c","cat_themes.krn","1","0","+m3",NA,NA
"5","1T","i","(4ee-","3","1","3","+m3","c","cat_themes.krn","0","0","-m2",NA,NA
"6","1T","i","8ddL","4","0.5","2","-m2","c","cat_themes.krn","0","0","-M2",NA,NA
"7","1T","i","8ccJ)","4.5","0.5","1","-M2","c","cat_themes.krn","0","0","+A4",NA,NA
"8","1D","V","(4ff#","1","1","4+","+A4","c","cat_themes.krn","0","0","+m2",NA,NA
"9","1D","V","4gg)","2","1","5","+m2","c","cat_themes.krn","0","0","-P4",NA,NA
"11","1D","V","2dd","3","2","2","-P4","c","cat_themes.krn","0","0","+m3",NA,NA
"13","2.D","V7","(4.ff","1","1.5","4","+m3","c","cat_themes.krn","0","0","+M2",NA,NA
"15","2.D","V7","16ggLL","2.5","0.25","5","+M2","c","cat_themes.krn","0","0","+m2",NA,NA
"16","2.D","V7","16aa-JJ","2.75","0.25","6","+m2","c","cat_themes.krn","0","0","-m2",NA,NA
"17","2.D","V7","8ggL","3","0.5","5","-m2","c","cat_themes.krn","0","0","-M2",NA,NA
"18","2.D","V7","8ff","3.5","0.5","4","-M2","c","cat_themes.krn","0","0","-M2",NA,NA
"19","4D","V","8ee-","4","0.5","3","-M2","c","cat_themes.krn","0","0","-m2",NA,NA
"20","4D","V","8ddJ)","4.5","0.5","2","-m2","c","cat_themes.krn","0","0","+m2",NA,NA
"21","1T","i","4ee-","1","1","3","+m2","c","cat_themes.krn","0","0","-m3",NA,NA
"22","1T","i","8.ccL","2","0.75","1","-m3","c","cat_themes.krn","0","0","P1",NA,NA
"23","1T","i","16ccJk","2.75","0.25","1","P1","c","cat_themes.krn","0","0","P1",NA,NA
"24","1T","i","2cc","3","2","1","P1","c","cat_themes.krn","0","0","[ee-]",NA,NA
"25","2T","I/III","(8ee-L","1","0.5","3","[ee-]","c","cat_themes.krn","0","0","+M2",NA,NA
"26","2T","I/III","24ffL","1.5","0.166667","4","+M2","c","cat_themes.krn","0","0","-M2",NA,NA
"27","2T","I/III","24ee-","1.66667","0.166667","3","-M2","c","cat_themes.krn","0","0","-m2",NA,NA
"28","2T","I/III","24ddJJ","1.83333","0.166667","2","-m2","c","cat_themes.krn","0","0","+m2",NA,NA
"29","2T","I/III","8.ee-L","2","0.75","3","+m2","c","cat_themes.krn","0","0","+M3",NA,NA
"30","2T","I/III","16ggJk)","2.75","0.25","5","+M3","c","cat_themes.krn","0","0","-M2",NA,NA
"31","2T","V7/III","(8ffL","3","0.5","4","-M2","c","cat_themes.krn","0","0","+P4",NA,NA
