"","melody","index","beat_pos","duration","scale_deg","approaching","key","depart","ArrNum","DepNum","onOffBeat","ArrSkiSteLeap","DepSkiSteLeap","Prediction","Response"
"1","4B#<",25,"1",1,"7","[B#]","c#","-M2",0,-2,"onbeat","unison","step",0.866141960929531,1
"2","4A#<",27,"2",1,"6+","-M2","c#","+M2",-2,2,"onbeat","step","step",0.80152356213528,1
"3","8B#<L",28,"3",0.5,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.651563710525005,1
"4","8c#<J",29,"3.5",0.5,"1","+m2","c#","+M2",1,2,"offbeat","step","step",0.485125363073619,1
"5","8d#L",33,"1",0.5,"2","+M2","c#","-m3",2,-3,"onbeat","step","leap",0.984221503911271,1
"6","8B#J",34,"1.5",0.5,"7","-m3","c#","+m2",-3,1,"offbeat","leap","step",0.93820188687144,1
"7","4.c#^",35,"2",1.5,"1","+m2","c#","-m3",1,-3,"onbeat","step","leap",0.971191831255954,1
"8","8A#<",36,"3.5",0.5,"6+","-m3","c#","+M2",-3,2,"offbeat","leap","step",0.93820188687144,1
"9","12B#<L",39,"1",0.333333,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.59128447506069,1
"10","12c#<",40,"1.33333",0.333333,"1","+m2","c#","-m2",1,-1,"offbeat","step","step",0.421612351868164,0
"11","12B#<J",41,"1.66667",0.333333,"7","-m2","c#","-M2",-1,-2,"offbeat","step","step",0.421612351868164,0
"12","4A#<",42,"2",1,"6+","-M2","c#","+M2",-2,2,"onbeat","step","step",0.80152356213528,1
"13","8B#<L",43,"3",0.5,"7","+M2","c#","+m2",2,1,"onbeat","step","step",0.651563710525005,1
"14","8c#<J",44,"3.5",0.5,"1","+m2","c#","+M2",1,2,"offbeat","step","step",0.485125363073619,1
"15","(12d#L",46,"1",0.333333,"2","+M2","c#","+m3",2,3,"onbeat","step","leap",0.985737543920298,1
"16","12f#",47,"1.33333",0.333333,"4","+m3","c#","-M2",3,-2,"offbeat","leap","step",0.92153950620438,1
"17","12eJ)",48,"1.66667",0.333333,"3","-M2","c#","-m2",-2,-1,"offbeat","step","step",0.421612351868164,0
"18","2d#",49,"2",2,"2","-m2","c#","-m3",-1,-3,"onbeat","step","leap",0.961216174965712,1
"19","(12B#<L",52,"1",0.333333,"7","-m3","c#","+m2",-3,1,"onbeat","leap","step",0.86189411399341,1
